file	lines
language/formatter/src/format/analysis/call/analyze.rs	602
language/formatter/src/format/analysis/call/classify.rs	675
language/formatter/src/format/analysis/call/layout.rs	916
language/formatter/src/format/analysis/call/mod.rs	7
language/formatter/src/format/analysis/mod.rs	3
language/formatter/src/format/analysis/scan.rs	119
language/formatter/src/format/analysis/timing.rs	258
language/formatter/src/format/annotation/mod.rs	4
language/formatter/src/format/annotation/node.rs	786
language/formatter/src/format/annotation/render.rs	952
language/formatter/src/format/call/argument/mod.rs	3
language/formatter/src/format/call/argument/node.rs	696
language/formatter/src/format/call/layout.rs	893
language/formatter/src/format/call/mod.rs	9
language/formatter/src/format/call/render.rs	55
language/formatter/src/format/chain/base.rs	743
language/formatter/src/format/chain/break.rs	955
language/formatter/src/format/chain/classify.rs	853
language/formatter/src/format/chain/format.rs	345
language/formatter/src/format/chain/length.rs	290
language/formatter/src/format/chain/line_group.rs	342
language/formatter/src/format/chain/mod.rs	16
language/formatter/src/format/chain/normalize.rs	636
language/formatter/src/format/chain/policy.rs	243
language/formatter/src/format/collection/key.rs	157
language/formatter/src/format/collection/list.rs	454
language/formatter/src/format/collection/literal.rs	765
language/formatter/src/format/collection/mod.rs	11
language/formatter/src/format/collection/path.rs	58
language/formatter/src/format/collection/pattern.rs	579
language/formatter/src/format/collection/property.rs	818
language/formatter/src/format/collection/render.rs	85
language/formatter/src/format/comments/blank.rs	263
language/formatter/src/format/comments/comment/assignment.rs	74
language/formatter/src/format/comments/comment/context.rs	100
language/formatter/src/format/comments/comment/declaration.rs	96
language/formatter/src/format/comments/comment/expression.rs	230
language/formatter/src/format/comments/comment/facts.rs	44
language/formatter/src/format/comments/comment/fallback.rs	135
language/formatter/src/format/comments/comment/mod.rs	12
language/formatter/src/format/comments/comment/operator.rs	144
language/formatter/src/format/comments/comment/resolve.rs	141
language/formatter/src/format/comments/comment/rule.rs	42
language/formatter/src/format/comments/comment/statement.rs	220
language/formatter/src/format/comments/index.rs	262
language/formatter/src/format/comments/mod.rs	9
language/formatter/src/format/comments/owner.rs	360
language/formatter/src/format/comments/projection.rs	136
language/formatter/src/format/comments/seam.rs	225
language/formatter/src/format/comments/token.rs	154
language/formatter/src/format/context/annotation.rs	521
language/formatter/src/format/context/cache.rs	312
language/formatter/src/format/context/metric.rs	53
language/formatter/src/format/context/mod.rs	14
language/formatter/src/format/context/model.rs	269
language/formatter/src/format/context/node.rs	136
language/formatter/src/format/context/options.rs	166
language/formatter/src/format/context/prelude.rs	33
language/formatter/src/format/context/source.rs	614
language/formatter/src/format/declaration/dependency.rs	179
language/formatter/src/format/declaration/dispatch.rs	306
language/formatter/src/format/declaration/enum.rs	84
language/formatter/src/format/declaration/function.rs	333
language/formatter/src/format/declaration/imports.rs	136
language/formatter/src/format/declaration/match.rs	216
language/formatter/src/format/declaration/mod.rs	13
language/formatter/src/format/declaration/module.rs	266
language/formatter/src/format/declaration/signature.rs	722
language/formatter/src/format/declaration/statement.rs	1245
language/formatter/src/format/declaration/type.rs	535
language/formatter/src/format/declaration/type_alias.rs	391
language/formatter/src/format/declaration/where.rs	62
language/formatter/src/format/directive.rs	691
language/formatter/src/format/expression/binary.rs	676
language/formatter/src/format/expression/classify.rs	263
language/formatter/src/format/expression/control.rs	420
language/formatter/src/format/expression/core.rs	174
language/formatter/src/format/expression/declarator.rs	858
language/formatter/src/format/expression/generic.rs	29
language/formatter/src/format/expression/member.rs	642
language/formatter/src/format/expression/mod.rs	80
language/formatter/src/format/expression/object.rs	322
language/formatter/src/format/expression/operator/assign.rs	482
language/formatter/src/format/expression/operator/binary.rs	1558
language/formatter/src/format/expression/operator/common.rs	11
language/formatter/src/format/expression/operator/dispatch.rs	437
language/formatter/src/format/expression/operator/mod.rs	8
language/formatter/src/format/expression/operator/new.rs	76
language/formatter/src/format/expression/operator/token.rs	168
language/formatter/src/format/expression/parentheses.rs	981
language/formatter/src/format/expression/primary.rs	876
language/formatter/src/format/expression/scan.rs	299
language/formatter/src/format/expression/sort.rs	84
language/formatter/src/format/expression/statement.rs	1080
language/formatter/src/format/expression/ternary.rs	299
language/formatter/src/format/expression/tests.rs	1398
language/formatter/src/format/mod.rs	18
language/formatter/src/format/tree.rs	2039
language/formatter/src/lib.rs	11
language/formatter/src/tests/legacy_format_nodes.rs	630
language/formatter/src/tests/mod.rs	6
language/formatter/src/tests/tests.rs	158
