file	line	visibility	kind	name	signature
language/formatter/src/tests/tests.rs	13	pub	struct	TestFormatter	pub(crate) struct TestFormatter {
language/formatter/src/format/directive.rs	14	pub	enum	FormatterDirectiveKind	pub enum FormatterDirectiveKind {
language/formatter/src/format/directive.rs	21	pub	enum	FormatterDirectivePosition	pub enum FormatterDirectivePosition {
language/formatter/src/format/directive.rs	30	pub	struct	FormatterDirective	pub struct FormatterDirective {
language/formatter/src/format/directive.rs	39	private	enum	FormatterDirectiveToken	enum FormatterDirectiveToken {
language/formatter/src/format/declaration/type_alias.rs	22	private	struct	InlineTypePrefixCommentCluster	struct InlineTypePrefixCommentCluster {
language/formatter/src/format/declaration/statement.rs	35	pub	struct	StatementList	pub struct StatementList<'a> {
language/formatter/src/format/declaration/statement.rs	83	pub	struct	EmptyBlockWithInfixAnnotations	pub struct EmptyBlockWithInfixAnnotations<T: Node> {
language/formatter/src/format/declaration/type.rs	410	pub	struct	EnumDeclarationFormatData	pub(super) struct EnumDeclarationFormatData<'a> {
language/formatter/src/format/comments/seam.rs	13	pub	enum	CommentSeamKeyword	pub(super) enum CommentSeamKeyword {
language/formatter/src/format/comments/seam.rs	60	pub	struct	CommentSeamContext	pub(super) struct CommentSeamContext<'a> {
language/formatter/src/format/comments/seam.rs	83	pub	struct	CommentSeamFacts	pub(super) struct CommentSeamFacts {
language/formatter/src/format/comments/seam.rs	201	pub	struct	CommentSeamRuleState	pub(super) struct CommentSeamRuleState {
language/formatter/src/format/declaration/signature.rs	448	pub	enum	FunctionHeaderStyle	pub(crate) enum FunctionHeaderStyle {
language/formatter/src/format/collection/list.rs	16	pub	enum	ListKind	pub(crate) enum ListKind {
language/formatter/src/format/collection/list.rs	37	pub	struct	ListLike	pub(crate) struct ListLike<'ast, 'e, T>
language/formatter/src/format/collection/render.rs	7	pub	struct	CollectionBreakScore	pub(crate) struct CollectionBreakScore {
language/formatter/src/format/expression/declarator.rs	73	private	enum	DeclaratorLayout	enum DeclaratorLayout {
language/formatter/src/format/expression/declarator.rs	83	private	struct	DeclaratorLayoutInputs	struct DeclaratorLayoutInputs {
